Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Africa Mein Hind,1939,131.0,Drama,6.0,25.0,Hiren Bose,Ashok Kumar,Rekha,Pran
Africadalli Sheela,1986,134.0,"Adventure, Thriller",6.6,18.0,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
Afsana,1966,134.0,"Drama, Romance",6.5,12.0,Brij,Ashok Kumar,Pradeep Kumar,Padmini
Afsana,1951,168.0,"Drama, Family",7.8,57.0,B.R. Chopra,Ashok Kumar,Veena,Jeevan
Afsana Dilwalon Ka,2001,195.0,"Drama, Romance",3.6,1.0,J. Om Prakash,Aashish Kaul,Juni,Rahul Roy
Afsana Pyar Ka,1991,145.0,"Drama, Romance",5.9,783.0,M.R. Shahjahan,Aamir Khan,Neelam Kothari,Deepak Tijori
Afsar,1950,121.0,"Comedy, Romance",7.1,19.0,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta
After Marriage,2017,131.0,Horror,6.0,25.0,Kritn Ajitesh,Ashok Kumar,Rekha,Pran
After the Last Lecture,1991,131.0,Romance,6.0,25.0,Chetan Singh,Hemwant Tiwari,Yashveer Choudhary,Rahul Sinha
After the Third Bell,2014,92.0,"Crime, Mystery",6.3,43.0,Ajay Govind,Udayan Banerjee,Akanksha D. Sharma,Sukhesh Arora
Afzal,1933,131.0,Drama,6.0,25.0,Mohan Dayaram Bhavnani,Ameena,Abdul Rehman Kabuli,Nissar
Agalvizhakku,1979,131.0,Drama,6.0,25.0,Selvaraj,Ashok Kumar,Rekha,Pran
Agam,1991,88.0,Drama,6.0,25.0,Sumit Mishra,Tara-Alisha Berry,Rahul Bagga,Ashmith Kunder
Agar Aap Chahein,1992,131.0,Family,6.0,25.0,Mazahir Rahim,Makrand Deshpande,Rekha,Pran
Agar Tum Na Hote,1983,161.0,"Drama, Family",6.4,152.0,Lekh Tandon,Rajesh Khanna,Rekha,Raj Babbar
Agar... If,1977,131.0,Drama,6.4,27.0,Esmayeel Shroff,Amol Palekar,Zarina Wahab,Kader Khan
Agathiyar,1972,153.0,"Adventure, Comedy, Drama",6.6,30.0,A.P. Subbaraav,T.S. Balaiah,J.P. Chandrababu,Devagi
Agent 009,1980,131.0,Action,6.0,25.0,Bharat Kapoor,Padma Khanna,Vijendra Mittal,Rehana Sultan
Agent 123,1983,131.0,Thriller,6.0,25.0,Geethapriya,Baby Indira,Master Ram Krishna,Manjula
Agent 777,1988,131.0,Action,6.0,25.0,Satish Khurana,Raja Duggal,Pallavi Joshi,Vicky Kaushik
Agent Vinod,1977,139.0,"Action, Crime, Drama",5.7,84.0,Deepak Bahry,Mahendra Sandhu,Asha Sachdev,Iftekhar
Agent Vinod,2012,157.0,"Action, Adventure, Thriller",5.2,7.0,Sriram Raghavan,Kareena Kapoor,Saif Ali Khan,Rajat Kapoor
Aggan: The Real Fire,1999,131.0,Thriller,6.0,25.0,Kavi Rajesh,Ashok Kumar,Rekha,Pran
Aggar: Passion Betrayal Terror,2007,131.0,"Romance, Thriller",4.0,281.0,Ananth Narayan Mahadevan,Tusshar Kapoor,Udita Goswami,Shreyas Talpade
Aghaat,1985,138.0,"Drama, Crime",7.1,120.0,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur
Agla Mausam,1989,131.0,Drama,6.0,25.0,Sagar Sarhadi,Pankaj Kapur,Supriya Pathak,Pran
Agnee,1988,153.0,"Action, Drama, Romance",5.1,29.0,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
Agnee Morcha,1997,142.0,Action,3.1,14.0,Raju Chouhan,Aparajita,Birbal,Dharmendra
Agneekaal,1990,161.0,"Action, Crime, Drama",5.6,26.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Masum Ali,Sadashiv Amrapurkar
Agneepath,1990,174.0,"Action, Crime, Drama",7.7,8.0,Mukul Anand,Amitabh Bachchan,Mithun Chakraborty,Madhavi
Agneepath,2012,174.0,"Action, Crime, Drama",6.9,22.0,Karan Malhotra,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt
Agni IPS,1997,137.0,Action,7.8,33.0,Anand P. Raju,Saroja Devi B.,Saikumar,Ranjitha
Agni Jwala,2001,131.0,Action,6.0,25.0,Vijayakanth,Isha Koppikar,Rahul Dev,Ramya Krishnan
Agni Pankh,2004,131.0,"Action, Drama, Romance",4.5,108.0,Sanjeev Puri,Jimmy Sheirgill,Sameer Dharmadhikari,Rahul Dev
Agni Pareeksha,1981,130.0,"Crime, Drama",6.0,22.0,Kamal Majumdar,Amol Palekar,Parikshit Sahni,Rameshwari
Agni Prem,1996,107.0,Action,6.0,25.0,Rukun,Tinnu Anand,Kishore Anand Bhanushali,Birbal
Agni Prem,2003,131.0,Thriller,6.0,25.0,Chandni Gupta,Junior Shakti Kapoor,Amit Pachori,Aman Sagar
Agni Rekha,1973,131.0,Drama,7.3,9.0,Mahesh Kaul,Sanjeev Kumar,Sharada,Sajjan
Agni Sakshi,1996,142.0,"Drama, Musical, Romance",6.1,684.0,Partho Ghosh,Jackie Shroff,Nana Patekar,Manisha Koirala
Agnichakra,1997,123.0,Action,3.6,53.0,Ketan Anand,Amit Suryavanshi,Naseeruddin Shah,Govinda
Agnidaah,1985,131.0,Drama,6.0,25.0,Ravi Baswani,Neena Gupta,Anupam Kher,Karan Razdan
Agniputra,2000,140.0,Action,4.6,24.0,Vijay Reddy,Asrani,Mithun Chakraborty,Pinky Chinoy
Agnivarsha: The Fire and the Rain,2002,126.0,"Drama, Fantasy, Romance",4.6,361.0,Arjun Sajnani,Jackie Shroff,Kumar Iyengar,Raveena Tandon
Agra,1991,131.0,Drama,6.0,25.0,Kanu Behl,Mohit Agarwal,Priyanka Bose,Vibha Chhibber
Agra Road,1957,131.0,"Comedy, Romance, Thriller",4.8,5.0,Ravindra Dave,Shakila,Vijay Anand,Nanda
Agreement,1980,124.0,"Musical, Comedy, Drama",6.2,19.0,Anil Ganguly,Rekha,Utpal Dutt,Shailendra Singh
Agyaat,2009,130.0,"Drama, Horror, Mystery",2.9,620.0,Ram Gopal Varma,Nithiin,Priyanka Kothari,Rasika Dugal
Ahaan,2019,81.0,"Comedy, Drama",7.2,213.0,Nikhil Pherwani,Arif Zakaria,Niharika Singh,Abuli Mamaji
Aham Brahmasmi,2021,106.0,Action,6.0,25.0,Megastar Maharishi Aazaad,Ashok Kumar,Rekha,Pran
Ahankaar,1995,145.0,Drama,5.9,53.0,Ashim S. Samanta,Mithun Chakraborty,Mamta Kulkarni,Prem Chopra
Ahankar,1999,75.0,Drama,6.0,25.0,Raja Mitra,Soumitra Chatterjee,Indrani Haldar,Rajesh Sharma
Ahilyabai Holkar,1991,131.0,"Biography, History, War",6.0,25.0,Dharmendra Baghel,Manoj Bakshi,Rekha,Pran
Ahinsa,1979,103.0,"Action, Drama",4.1,10.0,Chand,Sunil Dutt,Rekha,Ranjeet
Ahinsa,1946,131.0,Drama,6.0,25.0,Santosh Kumar,Madan Puri,Rekha,Pran
Ahinsa Path,1949,131.0,Drama,6.0,25.0,Keshavrao Dhaiber,Ashok Kumar,Rekha,Pran
Ahista Ahista,1981,141.0,"Musical, Romance",7.0,45.0,Esmayeel Shroff,Parveen Babi,Suresh Chatwal,Aruna Irani
Ahista Ahista,2006,122.0,"Drama, Romance",7.0,1.0,Shivam Nair,Abhay Deol,Soha Ali Khan,Shayan Munshi
Ahsaan,1987,150.0,Drama,6.0,25.0,Balwant Dullat,Smita Patil,Raj Babbar,Amjad Khan
Ahsaas,1979,144.0,"Drama, Romance",5.7,38.0,Surindara Suri,Shashi Kapoor,Simi Garewal,Rakesh Bedi
Aids and Blind Sex,1999,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Ailane Jung,1936,131.0,Drama,6.0,25.0,Jagatrai Pesumal Advani,Jani Babu,Khurshid Begum,Pran
Air Mail,1960,131.0,Drama,6.0,25.0,Poonam Kapoor,Ranjan Kapoor,Nazir Kashmiri,Moolchand
Air Mail,1946,131.0,Action,6.0,25.0,A. Rashid,Dilawar,Asmini,Shashi
Airlift,2016,130.0,"Drama, History",8.0,53.0,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra
Airport: Shaira & Me,1991,131.0,Romance,6.0,25.0,Adhyayan Suman,Sara Loren,Adhyayan Suman,Pran
Aisa Bhi Hota Hain,1971,131.0,Romance,6.0,25.0,Kamran,Jalal Agha,Nandita Bose,Mohan Choti
Aisa Kyon Hota Hai?,2006,131.0,"Action, Crime, Drama",3.9,21.0,Ajay Kanchan,Rati Agnihotri,Amit,Gopi Bhalla
Aisa Pyar Kahan,1986,131.0,"Drama, Romance",6.3,36.0,Vijay Sadanah,Jeetendra,Jaya Prada,Mithun Chakraborty
Aisa Yeh Jahaan,2015,120.0,Drama,6.6,52.0,Biswajeet Bora,Yashpal Sharma,Ira Dubey,Tinnu Anand
Aisaa Kyon,2003,131.0,Thriller,3.7,7.0,B.B. Singh,Ramesh Bhatkar,Sunil Dhawan,Avtar Gill
Aisha,2010,126.0,"Comedy, Drama, Romance",5.0,3.0,Rajshree Ojha,Sonam Kapoor,Abhay Deol,Amrita Puri
Aisi Bhi Kya Jaldi Hai,1996,132.0,"Comedy, Romance",6.6,68.0,Sachin Pilgaonkar,Sachin,Sachin Pilgaonkar,Vivek Mushran
Aisi Deewangi,2009,125.0,"Action, Comedy, Drama",4.1,7.0,Abdul Qayyoom Khan,Sarvar Ahuja,Preeti Arora,Pankaj Berry
Aitbaar,1985,133.0,"Romance, Thriller",6.9,149.0,Mukul Anand,Raj Babbar,Dimple Kapadia,Danny Denzongpa
Aitraaz,2004,160.0,"Drama, Romance, Thriller",6.6,9.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Kareena Kapoor
Aiyaary,2018,157.0,"Action, Drama, Thriller",5.3,4.0,Neeraj Pandey,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh
Aiye,1949,131.0,Drama,6.0,25.0,Lala Yaqoob,Sulochana Chatterjee,Jankidas,Ashraf Khan
Aiyyaa,2012,152.0,"Comedy, Romance",4.4,1.0,Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant
Ajab Gazabb Love,2012,116.0,"Comedy, Romance",4.2,520.0,Sanjay Gadhvi,Jackky Bhagnani,Nidhi Subbaiah,Darshan Jariwala
Ajab Prem Ki Ghazab Kahani,2009,150.0,"Action, Comedy, Romance",6.4,13.0,Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala
Ajab Singh Ki Gajab Kahani,2017,115.0,Drama,5.8,52.0,Rishi Prakash Mishra,Ajay Kumar Singh,Vikas Giri,Rajesh Jais
Ajamil,1934,131.0,Drama,6.0,25.0,Abdul Rehman Kabuli,Sardar Akhtar,Jani Babu,Ashraf Khan
Ajamil,1947,131.0,Drama,6.0,25.0,Narmada Shankar,Ashok Kumar,Rekha,Pran
Ajanabee,1974,139.0,"Drama, Romance",6.5,174.0,Shakti Samanta,Rajesh Khanna,Zeenat Aman,Prem Chopra
Ajay,1996,146.0,"Action, Drama, Romance",3.7,187.0,Suneel Darshan,Sunny Deol,Karisma Kapoor,Reena Roy
Ajayante Randam Moshanam,2021,131.0,"Adventure, Comedy, Drama",6.0,25.0,Jithin Lal,Tovino Thomas,Rekha,Pran
Ajeeb Aashiq,2016,70.0,Drama,6.0,25.0,Natasha Mendonca,Suman Sridhar,Jim Sarbh,Prem Mishra
Ajeeb Daastaans,2021,142.0,"Drama, Romance",6.7,4.0,Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta
Ajeeb Dastaan Hai Yeh,1992,131.0,Drama,4.7,11.0,J. Om Prakash,Vikas Anand,Neelima Azim,Rita Bhaduri
Ajeeb Itefaq,1989,131.0,"Crime, Mystery, Thriller",5.5,12.0,Jyoti Sarup,Navin Nischol,Mohan Gokhale,Vijayendra Ghatge
Ajeeb Ladki,1952,131.0,Drama,6.0,25.0,Agha,Naseem Banu,Cuckoo,Jayant
Aji Bas Shukriya,1958,131.0,"Comedy, Drama, Musical",6.1,11.0,Mohammed Hussain,Geeta Bali,Suresh,Johnny Walker
Ajit,1948,133.0,Drama,6.0,25.0,Mohan Dayaram Bhavnani,Monica Desai,Yashodra Katju,Prem Nath
Ajji,2017,104.0,Drama,6.9,973.0,Devashish Makhija,Sushama Deshpande,Smita Tambe,Sharvani Suryavanshi
Ajnabee,2001,165.0,"Action, Crime, Drama",6.4,8.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Bobby Deol
Ajnabi,1966,131.0,Thriller,6.0,25.0,Chandrashekhar,Mohan Choti,Iftekhar,Zeb Rehman
Ajnabi Saaya,1998,131.0,Horror,2.7,9.0,Prasun Banerjee,Kishore Anand Bhanushali,Sulabha Deshpande,Bharat Kapoor
Ajnabi Saaya,1989,131.0,Horror,6.0,25.0,Govind Bhatia,Master Bhagwan,Birbal,Sahila Chaddha
Ajooba,1991,178.0,"Action, Adventure, Comedy",5.3,1.0,Shashi Kapoor,Gennadiy Vasilev,Amitabh Bachchan,Dimple Kapadia
Ajooba Kudrat Ka,1991,131.0,"Action, Adventure, Fantasy",4.8,29.0,Shyam Ramsay,Tulsi Ramsay,Hemant Birje,Manjeet Kular
AK 47,2004,125.0,"Action, Thriller",5.0,39.0,Raam Shetty,Aditya,Sheetal Bavishi,Om Puri
AK vs AK,2020,108.0,"Action, Comedy, Crime",6.9,12.0,Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor
Akaash Ganga,1990,131.0,Action,6.0,25.0,Mohammed Hanif,Shoma Anand,Anupam Kher,Roopesh Kumar
Akaash Vani,2013,149.0,"Drama, Romance",6.3,1.0,Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
Akad,2005,149.0,"Comedy, Drama, Family",6.0,25.0,Dinesh Chaudhary,Uttar Kumar,Megha Mehar,Dev Sharma
Akad 2,2018,151.0,Family,6.0,25.0,Dinesh Chaudhary,Usha Devi,Kavita Joshi,Uttar Kumar
Akalmand,1984,131.0,"Comedy, Romance, Thriller",5.7,40.0,N.S. Raj Bharath,Ashok Kumar,Jeetendra,Sridevi
Akalmand,1966,131.0,Comedy,7.4,5.0,Sev Anand,I.S. Johar,Kishore Kumar,Sonia Sahni
Akarshan,1988,131.0,Romance,4.8,26.0,Tanvir Ahmed,Akbar Khan,Sonu Walia,Girish Karnad
Akash,1953,119.0,Drama,6.0,25.0,Manmohan Sabir,Agha,Manmohan Krishna,Nadira
Akash Pari,1958,131.0,Fantasy,6.0,25.0,Mohan Sinha,Kusum Pradhan,Ram Singh,Maruti
Akashdeep,1965,136.0,Drama,6.6,32.0,Phani Majumdar,Dharmendra,Mehmood,Ashok Kumar
Akashwani,1934,149.0,Drama,6.0,25.0,Bhalji Pendharkar,Leela,Nanasaheb Phatak,Master Vinayak
Akath Kahani,2013,120.0,Drama,6.0,25.0,Rohaan Satghare,Pragati Gaikwad,Yugraj Jain,Meghana Nikade
Akayla,1991,180.0,"Action, Drama, Thriller",5.0,421.0,Ramesh Sippy,Amitabh Bachchan,Jackie Shroff,Amrita Singh
Akbar Saleem Anarkali,1979,139.0,"Drama, History, Musical",7.7,38.0,N.T. Rama Rao,N.T. Rama Rao,Nandamuri Balakrishna,Unni Mary
Akela,1941,131.0,Drama,6.0,25.0,Pesi Karani,Hadi,Rekha,Pran
Akela,1963,131.0,Drama,6.0,25.0,Jay Bee,Dhumal,Honey Irani,Sulochana Latkar
Akela,1991,131.0,Drama,6.0,25.0,Arun Pawar,Tanay Chheda,Aditi Arya,Pran
Akela,1975,131.0,Drama,6.0,25.0,Khalid Sami,Sunil Dutt,Madhushala,Madhushala
Akela the Alone,2014,58.0,Thriller,5.5,10.0,Abrar,Adil Ahamad,Roman Ajaz,Casim Bilal
Akele Hum Akele Tum,1995,160.0,Drama,7.0,4.0,Mansoor Khan,Aamir Khan,Manisha Koirala,Master Adil
Akeli,1999,165.0,Romance,5.6,11.0,Vinod Pande,Perena Agarwal,Nandini Ghosal,Brij Gopal
Akeli Ladki,1999,131.0,Drama,6.0,25.0,I.V. Sasi,Pratap Chandra,Surat Gupta,Jayaram
Akeli Mat Jaiyo,1963,131.0,"Comedy, Romance",6.3,21.0,Nandlal Jaswantlal,Meena Kumari,Rajendra Kumar,Agha
Akhand Pratigya,1994,131.0,Action,6.0,25.0,Kodanda Rami Reddy A.,Chiranjeevi,Rekha,Pran
Akhand Saubhagyavati,1981,131.0,Drama,6.0,25.0,Rakesh Nahata,Rita Bhaduri,Kamini Bhatia,Nalin Dave
Akhiyon Se Goli Maare,2002,146.0,"Comedy, Romance",5.1,881.0,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Akhri Muqabla,1989,132.0,"Action, Drama",5.3,13.0,Sudesh Issar,Shashi Kapoor,Rajan Sippy,Suresh Oberoi
Akkad Bakkad Bam Be Bo,1991,131.0,Action,6.0,25.0,Dweep Raj Kochhar,Ramesh Pandey,Muntazir Ahmad,Nimay Bali
Akkal Na Bardan,1936,131.0,Drama,6.0,25.0,Homi Master,Ashok Kumar,Rekha,Pran
"Akki, Vikki te Nikki",1991,131.0,Comedy,6.0,25.0,Vipin Sharma,Prabhleen Sandhu,Zeishan Quadri,Nandini Sen
Aks,2001,184.0,"Action, Crime, Horror",5.8,1.0,Rakeysh Omprakash Mehra,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee
Aksar,2006,135.0,"Drama, Romance, Thriller",4.8,1.0,Ananth Narayan Mahadevan,Emraan Hashmi,Udita Goswami,Dino Morea
Aksar 2,2017,127.0,"Crime, Drama, Mystery",3.6,417.0,Ananth Narayan Mahadevan,Zareen Khan,Gautam Rode,Lillete Dubey
Al Hilal,1958,131.0,"Action, Adventure, Fantasy",6.0,25.0,Mahipal,Shakila,Master Romi,Hiralal
Ala Vaikunthapurramuloo Hindi Remake,1991,131.0,"Action, Drama",6.0,25.0,Rohit Dhawan,Kartik Aaryan,Rekha,Pran
Alaap,1977,160.0,"Drama, Musical",6.7,327.0,Hrishikesh Mukherjee,Amitabh Bachchan,Rekha,Chhayadevi
Aladdin and the Wonderful Lamp,1952,144.0,"Adventure, Fantasy",5.9,15.0,Homi Wadia,Mahipal,Meena Kumari,S.N. Tripathi
Aladdin Aur Jadui Chirag,1933,131.0,"Adventure, Fantasy",6.0,25.0,Jal Ariah,Abdul Rehman Kabuli,Rose,Narmada Shankar
Aladdin Aur Jadui Chirag,1937,131.0,Drama,6.0,25.0,Navinchandra,Ashok Kumar,Rekha,Pran
Aladin,2009,132.0,"Action, Adventure, Comedy",4.6,2.0,Sujoy Ghosh,Amitabh Bachchan,Sanjay Dutt,Riteish Deshmukh
Alag Alag,1985,174.0,"Family, Musical, Romance",6.4,86.0,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
Alag: He Is Different.... He Is Alone...,2006,123.0,"Action, Drama, Fantasy",3.8,1.0,Ashu Trikha,Akshay Kapoor,Dia Mirza,Yatin Karyekar
Alajh Palajh,2019,136.0,Comedy,6.9,7.0,Uttar Kumar,Vikas Balian,Usha Devi,Monu Dhankad
Alakh,1989,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Alakh Niranjan,1950,131.0,Fantasy,6.0,25.0,Gunjal,Durga Khote,Nirupa Roy,D.K. Sapru
Alakh Niranjan,1975,131.0,Fantasy,7.4,22.0,Babubhai Mistry,N.T. Rama Rao,Vanisri,Ramakrishna
Alakh Niranjan,1940,131.0,Drama,6.0,25.0,Bhalji Pendharkar,Leela,Rekha,Pran
Alam Ara,1973,124.0,Drama,6.8,8.0,Nanubhoy Vakil,Nazima,Ajit Sachdev,Paidi Jairaj
Alam Ara,1956,131.0,Drama,6.0,25.0,Nanubhai Vakil,Chitra,Daljeet,Pran
Alavuddinum Athbutha Vilakkum,1979,144.0,"Adventure, Drama, Fantasy",6.6,161.0,I.V. Sasi,Kamal Haasan,Rajinikanth,Jayabharati
Albela,2001,145.0,"Comedy, Drama, Romance",3.7,737.0,Deepak Sareen,Govinda,Aishwarya Rai Bachchan,Jackie Shroff
Albela,1951,158.0,"Comedy, Drama, Musical",7.0,82.0,Master Bhagwan,Geeta Bali,Master Bhagwan,Badri Prasad
Albela,1971,131.0,Drama,6.0,6.0,A. Shamsheer,Mehmood,Aruna Irani,Rajendranath Malhotra
Albela,1989,131.0,"Action, Romance",6.0,25.0,Ravi Tandon,Rati Agnihotri,Kumar Gaurav,Kader Khan
Albela,1986,131.0,Romance,6.0,25.0,Ravi Tandon,Rati Agnihotri,Kumar Gaurav,Kader Khan
Albela Mastana,1967,131.0,Comedy,6.0,25.0,B.J. Patel,Kishore Kumar,Asha Nadkarni,Master Bhagwan
Albeli,1955,131.0,"Comedy, Romance",6.0,25.0,Devendra Goel,Pradeep Kumar,Geeta Bali,Om Prakash
Albeli,1974,131.0,Romance,6.0,25.0,Karunesh Thakur,Vinod Mehra,Rehana Sultan,Mehmood
Albeli,1944,131.0,Drama,6.0,25.0,R.C. Talwar,Hiralal,Usha,Pran
Albert Einstein: a Survival Story of a Student,1991,97.0,Drama,6.0,25.0,Sunil Mathur,Amruta Subhash,Manoj Pahwa,Parvin Dabas
Albert Pinto Ko Gussa Kyon Ata Hai,1980,110.0,"Comedy, Drama, Romance",7.5,428.0,Saeed Akhtar Mirza,Naseeruddin Shah,Shabana Azmi,Smita Patil
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100.0,Drama,5.5,349.0,Soumitra Ranade,Manav Kaul,Nandita Das,Amarjeet Amle
Alert 24X7,1991,131.0,"Action, Thriller",6.0,25.0,Soujan Josseph,Anupam Kher,Sanjay Dutt,Kabir Bedi
Alex's Strip,2019,109.0,Drama,5.9,37.0,Irene Zoe Alameda,Aitana Sánchez-Gijón,Aida Folch,Rohit Choudhary
Ali Baba,1945,131.0,Drama,6.0,25.0,Sadiq Ansari,Trilok Kapoor,Rekha,Pran
Ali Baba,1976,131.0,"Action, Adventure, Fantasy",6.0,25.0,Mohammed Hussain,Helen,Satish Kaul,Dev Kumar
Ali Baba and 40 Thieves,1966,154.0,"Adventure, Fantasy, Romance",6.4,14.0,Homi Wadia,Sanjeev Kumar,L. Vijayalakshmi,David Abraham
Ali Baba and the Forty Thieves,1932,131.0,Drama,6.0,25.0,Mukhtar Begum,Patience Cooper,Jehanara Kajjan,Keravala
Ali the Blind Boxer,2019,131.0,Drama,6.0,25.0,Bijoy Banerjee,Kaushik Mondal,Shabir Sheikh,Pran
Alibaba,1976,131.0,Drama,6.0,25.0,Mohammed Hussain,Lalita Pawar,Rekha,Pran
Alibaba,1940,131.0,Drama,6.0,5.0,Mehboob Khan,Surendra,Ghulam Mohammed,Wahidan
Alibaba and 40 Thieves,1954,145.0,"Action, Adventure, Drama",6.2,46.0,Homi Wadia,Shakila,Mahipal,B.M. Vyas
Alibaba Aur 40 Chor,2004,131.0,"Action, Adventure, Drama",4.4,30.0,Sunil Agnihotri,Azghar,Brownie,Diveyaa Dwivedi
Alibaba Aur 41 Chor,2018,131.0,Animation,6.0,25.0,Soumitra Ranade,Ashok Kumar,Rekha,Pran
Alibaba Aur Chalis Chor,1932,131.0,Drama,3.4,5.0,J.J. Madan,Ashok Kumar,Rekha,Pran
Alibaba Marjinaa,1977,163.0,"Action, Adventure",6.7,27.0,Kedar Kapoor,Urmila Bhatt,Birbal,Jagdeep
Alibaug,1991,131.0,Drama,6.0,25.0,Sanjay Gupta,Sophiya Chaudhary,Parvin Dabas,Sanjay Dutt
Alien Dost,2015,131.0,Animation,6.0,25.0,Rajiv Chilaka,Ashok Kumar,Rekha,Pran
ALIF,2010,131.0,Drama,6.0,25.0,Kamal K.M.,Yogesh Shirke,Rekha,Pran
Alif,2017,120.0,Drama,6.5,137.0,Zaigham Imam,Neelima Azim,Pawan Tiwari,Bhavna Pani
Alif Laila,1933,131.0,Fantasy,7.2,37.0,Balwant Bhatt,Shanti Dave,Bashir Qawal,Zohra
Alif-Laila,1953,135.0,Fantasy,6.3,11.0,K. Amarnath,Nimmi,Asha Mathur,Pran
Aligarh,2015,114.0,"Biography, Drama",7.8,6.0,Hansal Mehta,Manoj Bajpayee,Rajkummar Rao,Ashish Vidyarthi
Alingan,1974,131.0,Romance,6.0,25.0,C.L. Dheer,Romesh Sharma,Zaheera,Suresh Chatwal
Alisha,2014,70.0,"Drama, Family, Romance",6.0,25.0,Rajesh Hans,Anita Kulkarni,Amit Jairath,Laxmi Gadatre
Aliya Basu Gayab Hai,2020,131.0,Drama,6.0,25.0,Preeti Singh,Salim Diwan,Vinay Pathak,Raima Sen
Al-kaanda,2015,100.0,"Comedy, Crime",6.0,25.0,Kiertan Chauhan,Sunil Chabbra,Sandeep Jain,Tulsiram Kadam
All About Michelle,2019,131.0,Thriller,6.0,25.0,Apoorva Marur,Anisha Alla,Chandana Chakrabarti,Drishika Chander
All About Sec-377,2016,126.0,"Comedy, Drama",6.0,25.0,Amit Khanna,Ashok Kumar,Rekha,Pran
All in a Night,2021,131.0,Thriller,6.0,25.0,Sanjay Raj,Richa Singh Chauhan,Lovekush,Suraj Gupta
All Is Well,2015,126.0,"Comedy, Drama, Romance",3.8,1.0,Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
All Ladies Do It,2020,97.0,Thriller,7.9,384.0,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
All Rounder,1984,128.0,"Action, Drama",4.8,31.0,Mohan Kumar,Kumar Gaurav,Rati Agnihotri,Vinod Mehra
All the Best: Fun Begins,2009,144.0,"Action, Comedy, Drama",6.2,5.0,Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan
All the Tired Horses,1991,131.0,"Comedy, Crime, Drama",6.0,25.0,James With,James With,Daniel Tenni,Mara Pomana
All You Need ... Love,2011,131.0,Romance,6.0,25.0,Atul Garg,Veena Malik,Rekha,Pran
Allad,1995,131.0,Drama,6.0,25.0,Rambha,Ashok Kumar,Rekha,Pran
Alladin II,1936,131.0,"Adventure, Fantasy",6.0,25.0,Nurjahan,Ashok Kumar,Rekha,Pran
Alladin Ka Beta,1955,131.0,Action,6.0,25.0,Chitra,Kammo,Yashodra Katju,Mahipal
Alladin Ka Chiragh,1957,131.0,Fantasy,6.0,25.0,T.R. Raghunath,Anjali Devi,Akkineni Nageshwara Rao,T.S. Balaiah
Alladin Leila,1957,131.0,Drama,6.0,25.0,Lekhraj Bhakri,Mahipal,Lalita Pawar,Shakila
Allah Ke Banday,2010,123.0,"Action, Crime, Drama",6.1,303.0,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale
Allah Meharban To Gadha Pehalwan,1997,149.0,Comedy,4.3,7.0,Ravindra Arora,Zahid Ali,Shakti Kapoor,Kader Khan
Allah-Rakha,1986,160.0,"Action, Drama",5.4,132.0,Ketan Desai,Jackie Shroff,Shammi Kapoor,Waheeda Rehman
Allaudin Ka Jadui Chirag,2002,131.0,Fantasy,6.0,25.0,Ravi Chakkravarthy,Ashima Bhalla,Prabhudev,Raghuvaran
Alone,2015,133.0,Horror,3.7,1.0,Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
Aloo Chaat,2009,131.0,"Comedy, Drama, Romance",5.8,907.0,Robbie Grewal,Aftab Shivdasani,Aamna Sharif,Linda Arsenio
Alpha Beta Gamma,2021,124.0,"Comedy, Drama",6.0,25.0,Shankar Sri Kumar,Amit Kumar Vashisth,Reena Aggarwal,Nishan
